"Data";"#BR:Sao Paulo"
2020-03-06 00:00:00;1.0
2020-03-06 00:00:00;1.14
2020-03-07 00:00:00;1.57
2020-03-08 00:00:00;2.0
2020-03-09 00:00:00;2.0
2020-03-10 00:00:00;2.43
2020-03-11 00:00:00;3.86
2020-03-12 00:00:00;5.71
2020-03-14 00:00:00;7.86
2020-03-16 00:00:00;19.86
2020-03-17 00:00:00;21.14
2020-03-18 00:00:00;32.0
2020-03-19 00:00:00;38.14
2020-03-20 00:00:00;52.29
2020-03-21 00:00:00;50.0
2020-03-22 00:00:00;80.86
2020-03-23 00:00:00;84.71
2020-03-24 00:00:00;92.29
2020-03-25 00:00:00;88.86
2020-03-26 00:00:00;109.43
2020-03-27 00:00:00;118.14
2020-03-28 00:00:00;144.29
2020-03-29 00:00:00;117.14
2020-03-30 00:00:00;110.29
2020-03-31 00:00:00;218.43
2020-04-01 00:00:00;302.71
2020-04-02 00:00:00;350.57
2020-04-03 00:00:00;403.57
2020-04-04 00:00:00;437.14
2020-04-05 00:00:00;452.71
2020-04-06 00:00:00;478.43
2020-04-07 00:00:00;477.57
2020-04-08 00:00:00;532.43
2020-04-09 00:00:00;567.71
2020-04-10 00:00:00;595.43
2020-04-11 00:00:00;564.71
2020-04-12 00:00:00;590.71
2020-04-13 00:00:00;575.57
2020-04-14 00:00:00;527.0
2020-04-15 00:00:00;619.29
2020-04-16 00:00:00;584.0
2020-04-17 00:00:00;660.71
2020-04-18 00:00:00;782.14
2020-04-19 00:00:00;787.43
2020-04-20 00:00:00;812.14
2020-04-21 00:00:00;859.14
2020-04-22 00:00:00;695.86
2020-04-23 00:00:00;738.86
2020-04-24 00:00:00;712.14
2020-04-25 00:00:00;872.86
2020-04-26 00:00:00;921.14
2020-04-27 00:00:00;1016.57
2020-04-28 00:00:00;1236.57
2020-04-29 00:00:00;1463.43
2020-04-30 00:00:00;1708.29
2020-05-01 00:00:00;1792.57
2020-05-02 00:00:00;1595.71
2020-05-03 00:00:00;1579.57
2020-05-04 00:00:00;1498.71
2020-05-05 00:00:00;1430.29
2020-05-06 00:00:00;1670.71
2020-05-07 00:00:00;1604.29
2020-05-08 00:00:00;1636.57
2020-05-09 00:00:00;1891.0
2020-05-10 00:00:00;1953.14
2020-05-11 00:00:00;1992.0
2020-05-12 00:00:00;1952.29
2020-05-13 00:00:00;1892.0
2020-05-14 00:00:00;2051.14
2020-05-15 00:00:00;2364.0
2020-05-16 00:00:00;2396.0
2020-05-17 00:00:00;2414.43
2020-05-18 00:00:00;2419.29
2020-05-19 00:00:00;2610.86
2020-05-20 00:00:00;2680.29
2020-05-21 00:00:00;2779.0
2020-05-22 00:00:00;2641.86
2020-05-23 00:00:00;2767.86
2020-05-24 00:00:00;2830.86
2020-05-25 00:00:00;2937.0
2020-05-26 00:00:00;2860.29
2020-05-27 00:00:00;2803.43
2020-05-28 00:00:00;3160.86
2020-05-29 00:00:00;3526.43
2020-05-30 00:00:00;3797.71
2020-05-31 00:00:00;3933.86
2020-06-01 00:00:00;3953.0
2020-06-02 00:00:00;4611.14
2020-06-03 00:00:00;4857.14
2020-06-04 00:00:00;4762.14
2020-06-05 00:00:00;4715.57
2020-06-06 00:00:00;4772.43
2020-06-07 00:00:00;4767.86
2020-06-08 00:00:00;4756.71
2020-06-09 00:00:00;4549.0
2020-06-10 00:00:00;4690.43
2020-06-11 00:00:00;4760.0
2020-06-12 00:00:00;4762.14
2020-06-13 00:00:00;4618.0
2020-06-14 00:00:00;5018.43
2020-06-15 00:00:00;5266.71
2020-06-16 00:00:00;5735.29
2020-06-17 00:00:00;5028.71
2020-06-18 00:00:00;4301.14
2020-06-19 00:00:00;6251.14
2020-06-20 00:00:00;6131.14
2020-06-21 00:00:00;5854.71
2020-06-22 00:00:00;5787.57
2020-06-23 00:00:00;5598.57
2020-06-24 00:00:00;6757.86
2020-06-25 00:00:00;7994.14
2020-06-26 00:00:00;6692.86
2020-06-27 00:00:00;7112.57
2020-06-28 00:00:00;7507.43
2020-06-29 00:00:00;7596.0
2020-06-30 00:00:00;7415.0
2020-07-01 00:00:00;7301.86
2020-07-02 00:00:00;7656.0
2020-07-03 00:00:00;7429.86
2020-07-04 00:00:00;6707.0
2020-07-05 00:00:00;6920.29
2020-07-06 00:00:00;6846.43
2020-07-07 00:00:00;7332.57
2020-07-08 00:00:00;7347.14
2020-07-09 00:00:00;6790.86
2020-07-10 00:00:00;6941.86
2020-07-11 00:00:00;7765.71
2020-07-12 00:00:00;7402.57
2020-07-13 00:00:00;7362.43
2020-07-14 00:00:00;7699.86
2020-07-15 00:00:00;7401.57
2020-07-16 00:00:00;7476.14
2020-07-17 00:00:00;6900.71
2020-07-18 00:00:00;6448.14
2020-07-19 00:00:00;6150.29
2020-07-20 00:00:00;5975.29
2020-07-21 00:00:00;5151.71
2020-07-22 00:00:00;6610.0
2020-07-23 00:00:00;7137.0
2020-07-24 00:00:00;7971.86
2020-07-25 00:00:00;9636.29
2020-07-26 00:00:00;9847.57
2020-07-27 00:00:00;10174.29
2020-07-28 00:00:00;11090.29
2020-07-29 00:00:00;10678.71
2020-07-30 00:00:00;10999.86
2020-07-31 00:00:00;11298.0
2020-08-01 00:00:00;10405.29
2020-08-02 00:00:00;10671.86
2020-08-03 00:00:00;10366.29
2020-08-04 00:00:00;10755.43
2020-08-05 00:00:00;10152.57
2020-08-06 00:00:00;9952.0
2020-08-07 00:00:00;9439.29
2020-08-08 00:00:00;9916.14
2020-08-09 00:00:00;9777.29
2020-08-10 00:00:00;9742.43
2020-08-11 00:00:00;9139.0
2020-08-12 00:00:00;9988.0
2020-08-13 00:00:00;10826.43
2020-08-14 00:00:00;11106.14
2020-08-15 00:00:00;10828.43
2020-08-16 00:00:00;10338.14
2020-08-17 00:00:00;10607.14
2020-08-18 00:00:00;10281.14
2020-08-19 00:00:00;9456.57
2020-08-20 00:00:00;8053.29
2020-08-21 00:00:00;7119.71
2020-08-22 00:00:00;7387.71
2020-08-23 00:00:00;7805.14
2020-08-24 00:00:00;7687.86
2020-08-25 00:00:00;7734.29
2020-08-26 00:00:00;7822.57
2020-08-27 00:00:00;7660.71
2020-08-28 00:00:00;8607.0
2020-08-29 00:00:00;7454.0
2020-08-30 00:00:00;7039.29
2020-08-31 00:00:00;6837.43
2020-09-01 00:00:00;6957.86
2020-09-02 00:00:00;7170.86
2020-09-03 00:00:00;7646.43
2020-09-04 00:00:00;6972.43
2020-09-05 00:00:00;7380.43
2020-09-06 00:00:00;7474.0
2020-09-07 00:00:00;7569.71
2020-09-08 00:00:00;6344.0
2020-09-09 00:00:00;5749.29
2020-09-10 00:00:00;5253.71
2020-09-11 00:00:00;5399.0
2020-09-12 00:00:00;5372.14
2020-09-13 00:00:00;5219.29
2020-09-14 00:00:00;5145.57
2020-09-15 00:00:00;6069.71
2020-09-16 00:00:00;6121.71
2020-09-17 00:00:00;6009.57
2020-09-18 00:00:00;5960.43
2020-09-19 00:00:00;5854.71
2020-09-20 00:00:00;6149.0
2020-09-21 00:00:00;6283.29
2020-09-22 00:00:00;6307.29
